date,indexA
Jun-2020,375
Jul-2020,422
Aug-2020,740
Sep-2020,593
Oct-2020,432
Nov-2020,469
Dec-2020,848
Jan-2021,767
Feb-2021,421
Mar-2021,501
Apr-2021,466
May-2021,571
Jun-2021,633
Jul-2021,639
Aug-2021,1033
Sep-2021,788
Oct-2021,620
Nov-2021,628
Dec-2021,1063
Jan-2022,811
Feb-2022,517
Mar-2022,538
Apr-2022,589
May-2022,616
Jun-2022,562
Jul-2022,597
Aug-2022,1059
Sep-2022,802
Oct-2022,589
Nov-2022,620
Dec-2022,1088
Jan-2023,921
Feb-2023,561
Mar-2023,596
Apr-2023,582
May-2023,652
Jun-2023,585
Jul-2023,590
Aug-2023,878
Sep-2023,727
Oct-2023,559
Nov-2023,597
Dec-2023,1073
Jan-2024,802
Feb-2024,559
Mar-2024,596
Apr-2024,596
