date,indexC
Sep-2019,1231
Oct-2019,1382
Nov-2019,2029
Dec-2019,2268
Jan-2020,1163
Feb-2020,1191
Mar-2020,856
Apr-2020,356
May-2020,1109
Jun-2020,1405
Jul-2020,1390
Aug-2020,1483
Sep-2020,1548
Oct-2020,1631
Nov-2020,2342
Dec-2020,2520
Jan-2021,1541
Feb-2021,1335
Mar-2021,1820
Apr-2021,1615
May-2021,1592
Jun-2021,1548
Jul-2021,1607
Aug-2021,1624
Sep-2021,1698
Oct-2021,1807
Nov-2021,2528
Dec-2021,2772
Jan-2022,1427
Feb-2022,1464
Mar-2022,1637
Apr-2022,1647
May-2022,1618
Jun-2022,1465
Jul-2022,1605
Aug-2022,1725
Sep-2022,1780
Oct-2022,1855
Nov-2022,2734
Dec-2022,2949
Jan-2023,1536
Feb-2023,1460
Mar-2023,1631
Apr-2023,1468
May-2023,1530
Jun-2023,1531
Jul-2023,1519
Aug-2023,1625
Sep-2023,1744
Oct-2023,1760
Nov-2023,2687
Dec-2023,2915
Jan-2024,1504
Feb-2024,1519
Mar-2024,1669
Apr-2024,1471
