date,indexB
Jun-2013,3954
Jul-2013,3819
Aug-2013,4161
Sep-2013,3230
Oct-2013,3162
Nov-2013,3750
Dec-2013,5518
Jan-2014,2722
Feb-2014,2803
Mar-2014,3553
Apr-2014,3520
May-2014,3681
Jun-2014,3934
Jul-2014,3842
Aug-2014,4386
Sep-2014,3519
Oct-2014,3435
Nov-2014,3902
Dec-2014,5840
Jan-2015,2874
Feb-2015,2867
Mar-2015,3739
Apr-2015,3621
May-2015,3882
Jun-2015,4156
Jul-2015,4161
Aug-2015,4392
Sep-2015,3702
Oct-2015,3472
Nov-2015,3883
Dec-2015,6219
Jan-2016,3106
Feb-2016,3237
Mar-2016,4077
Apr-2016,3794
May-2016,3942
Jun-2016,4634
Jul-2016,4318
Aug-2016,4307
Sep-2016,3591
Oct-2016,3401
Nov-2016,3878
Dec-2016,5849
Jan-2017,2966
Feb-2017,3041
Mar-2017,3795
Apr-2017,3657
May-2017,3813
Jun-2017,4117
Jul-2017,3921
Aug-2017,4226
Sep-2017,3566
Oct-2017,3390
Nov-2017,3978
Dec-2017,5495
Jan-2018,2774
Feb-2018,3023
Mar-2018,3782
Apr-2018,3564
May-2018,3809
Jun-2018,4095
Jul-2018,3845
Aug-2018,4048
Sep-2018,3124
Oct-2018,3189
Nov-2018,3672
Dec-2018,4988
Jan-2019,2730
Feb-2019,2826
Mar-2019,3636
Apr-2019,3615
May-2019,3762
Jun-2019,4096
Jul-2019,4073
Aug-2019,4302
Sep-2019,3346
Oct-2019,3463
Nov-2019,3758
Dec-2019,5236
Jan-2020,2923
Feb-2020,3029
Mar-2020,3365
Apr-2020,2526
May-2020,4249
Jun-2020,5696
Jul-2020,5284
Aug-2020,4948
Sep-2020,4611
Oct-2020,4491
Nov-2020,4543
Dec-2020,6617
Jan-2021,4144
Feb-2021,3662
Mar-2021,5830
Apr-2021,5558
May-2021,5430
Jun-2021,5881
Jul-2021,5468
Aug-2021,5657
Sep-2021,4733
Oct-2021,4762
Nov-2021,5509
Dec-2021,7310
Jan-2022,3956
Feb-2022,4079
Mar-2022,5349
Apr-2022,5152
May-2022,5182
Jun-2022,5843
Jul-2022,5558
Aug-2022,5781
Sep-2022,4867
Oct-2022,4874
Nov-2022,5347
Dec-2022,7416
Jan-2023,3991
Feb-2023,3998
Mar-2023,5161
Apr-2023,5145
May-2023,5322
Jun-2023,5675
Jul-2023,5611
Aug-2023,5835
Sep-2023,4879
Oct-2023,4781
Nov-2023,5274
Dec-2023,7008
Jan-2024,4061
Feb-2024,4126
Mar-2024,4991
Apr-2024,4573
